name_or_code,A1_age_diff,A2_meeting_route,A3_time_to_attraction,A4_meeting_freq,B5_appearance,B6_style,B7_voice,B8_physical_presence,B9_scent_sensory,C10_background_uniqueness,C11_education,C12_cultural_sophistication,C13_language_ability,C14a_earning_power,C14b_family_background,C16_outsider_identity,D17_honesty_transparency,D18_self_awareness_metacog,D19_intellectual_curiosity,D20_cognitive_sharpness,D21_humor_match,D22_competence_selfeval_gap,D23_growth_orientation,D24_clumsy_but_trying,D25_agreeableness,D26_neuroticism,D27_extraversion,E28_reads_me,E29_vulnerability_shown,E30_emotional_safety,E31_power_balance,E32_care_impulse,E33_depth_speed,E34_push_pull_tension,E35_reciprocity_felt,F36_value_similarity,F37_life_goal_alignment,F38_identity_shared,F39_identity_understanding,F40_relationship_seriousness,F41_lifestyle_compatibility,G42_complementary_competence,G45_conversation_fun,G47_social_vs_emotional_gap,H48_my_loneliness_then,H50_access_frequency,H51_social_barrier,I52_selection_specificity,I53_thought_sync_frequency,I54_value_reframe_accepted,I55_observes_and_expresses_me,I57_boards_my_proposed_futures,y1_attracted,y2_attraction_intensity,y3_dated,y4_relationship_satisfaction
Subject #01,-12.0,school,30.0,8.0,6.0,5.0,8.0,1.0,5.0,10.0,7.0,6.0,10.0,5.0,9.0,8.0,2.0,5.0,10.0,8.0,5.0,9.0,10.0,7.0,5.0,6.0,5.0,7.0,8.0,3.0,5.0,8.0,8.0,9.0,4.0,8.0,9.0,0.0,7.0,5.0,5.0,8.0,9.0,8.0,1.0,9.0,10.0,3.0,8.0,6.0,5.0,6.0,1.0,10.0,0.0,
Subject #02,-1.0,work,600.0,10.0,5.0,5.0,6.0,3.0,8.0,5.0,5.0,10.0,7.0,3.0,8.0,8.0,3.0,7.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,4.0,10.0,10.0,8.0,6.0,7.0,2.0,10.0,10.0,10.0,10.0,0.0,7.0,10.0,10.0,9.0,10.0,5.0,2.0,10.0,10.0,7.0,10.0,8.0,9.0,8.0,1.0,8.0,1.0,10.0
Subject #03,-5.0,social,90.0,7.0,4.0,8.0,9.0,8.0,7.0,6.0,5.0,7.0,9.0,8.0,7.0,5.0,8.0,8.0,9.0,8.0,8.0,3.0,10.0,8.0,8.0,3.0,8.0,6.0,8.0,7.0,5.0,3.0,5.0,4.0,10.0,9.0,8.0,1.0,10.0,9.0,4.0,6.0,10.0,1.0,10.0,8.0,2.0,9.0,7.0,8.0,3.0,10.0,1.0,9.0,1.0,9.0
Subject #04,3.0,friend_intro,30.0,1.0,3.0,9.0,5.0,6.0,3.0,10.0,10.0,10.0,10.0,3.0,7.0,10.0,2.0,9.0,10.0,10.0,7.0,10.0,10.0,5.0,7.0,10.0,3.0,9.0,10.0,5.0,7.0,6.0,7.0,6.0,6.0,8.0,10.0,1.0,10.0,10.0,3.0,8.0,7.0,10.0,10.0,7.0,1.0,6.0,10.0,6.0,10.0,6.0,1.0,7.0,1.0,3.0
Subject #05,-5.0,work,90.0,8.0,7.0,5.0,5.0,2.0,5.0,5.0,5.0,6.0,7.0,8.0,7.0,5.0,1.0,8.0,7.0,8.0,6.0,3.0,8.0,7.0,7.0,2.0,8.0,1.0,5.0,2.0,1.0,6.0,3.0,8.0,1.0,7.0,5.0,0.0,5.0,5.0,9.0,5.0,5.0,7.0,10.0,9.0,10.0,3.0,8.0,5.0,5.0,5.0,1.0,10.0,0.0,
Subject #06,-5.0,friend_intro,60.0,2.0,3.0,1.0,5.0,6.0,2.0,6.0,5.0,1.0,8.0,7.0,2.0,3.0,5.0,8.0,5.0,7.0,1.0,1.0,7.0,5.0,5.0,2.0,3.0,2.0,3.0,1.0,9.0,3.0,2.0,3.0,7.0,6.0,4.0,1.0,10.0,5.0,2.0,4.0,3.0,3.0,10.0,4.0,1.0,3.0,5.0,5.0,3.0,5.0,0.0,5.0,1.0,1.0
Subject #07,-3.0,work,30.0,5.0,10.0,8.0,7.0,3.0,10.0,5.0,6.0,7.0,7.0,8.0,8.0,7.0,1.0,3.0,3.0,6.0,7.0,7.0,6.0,6.0,3.0,8.0,5.0,1.0,8.0,2.0,3.0,8.0,8.0,7.0,1.0,3.0,3.0,0.0,1.0,2.0,1.0,6.0,8.0,10.0,5.0,5.0,10.0,2.0,4.0,4.0,2.0,3.0,1.0,10.0,1.0,2.0
Subject #08,1.0,school,180.0,9.0,4.0,5.0,6.0,5.0,5.0,3.0,5.0,6.0,5.0,2.0,1.0,5.0,3.0,7.0,8.0,6.0,9.0,8.0,7.0,8.0,7.0,5.0,7.0,8.0,9.0,7.0,8.0,9.0,5.0,3.0,9.0,9.0,9.0,0.0,7.0,8.0,9.0,7.0,9.0,3.0,5.0,8.0,1.0,5.0,9.0,9.0,8.0,8.0,1.0,8.0,1.0,8.0
Subject #09,-2.0,social,180.0,4.0,6.0,8.0,6.0,7.0,8.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,9.0,6.0,5.0,1.0,7.0,7.0,3.0,5.0,6.0,7.0,8.0,5.0,6.0,3.0,5.0,3.0,8.0,8.0,5.0,1.0,9.0,8.0,5.0,5.0,7.0,1.0,6.0,5.0,1.0,8.0,8.0,8.0,9.0,7.0,1.0,7.0,1.0,7.0
Subject #10,-1.0,app,30.0,3.0,1.0,2.0,5.0,4.0,2.0,7.0,7.0,8.0,5.0,3.0,6.0,9.0,7.0,10.0,7.0,5.0,1.0,1.0,8.0,3.0,1.0,2.0,8.0,2.0,7.0,2.0,5.0,1.0,7.0,2.0,7.0,4.0,3.0,1.0,10.0,2.0,4.0,4.0,2.0,1.0,7.0,3.0,1.0,3.0,2.0,7.0,8.0,5.0,0.0,4.0,1.0,3.0
